,StepCount,Kcal,Miles,Weather,Day,Walk,Steps,Weather(Modified to numeric),,,Day(Modified to numeric)
1,2615,8,1.4,shine,F,0,2.615,1,,,5
2,3323,12,1.8,shine,S,0,3.323,1,,,6
3,2721,13,1.4,shine,U,0,2.721,1,,,7
4,2454,12,1.3,shine,M,0,2.454,1,,,1
5,5528,152,3.1,cold,T,1,5.528,0,,,2
6,3257,17,1.8,shine,W,0,3.257,1,,,3
7,4988,65,2.7,shine,R,0,4.988,1,,,4
8,4497,133,2.4,cold,F,0,4.497,0,,,5
9,4567,35,2.6,shine,S,0,4.567,1,,,6
10,2569,19,1.3,cold,U,0,2.569,0,,,7
11,9138,273,5.1,cold,M,0,9.138,0,,,1
12,11251,353,6.3,cold,T,0,11.251,0,,,2
13,4570,140,2.5,cold,W,0,4.57,0,,,3
14,820,4,0.4,cold,R,0,0.82,0,,,4
15,6689,209,3.7,cold,F,0,6.689,0,,,5
16,3636,18,1.9,cold,S,0,3.636,0,,,6
17,2701,13,1.4,cold,U,0,2.701,0,,,7
18,3336,65,1.8,cold,M,0,3.336,0,,,1
19,8444,272,4.7,cold,T,0,8.444,0,,,2
20,1037,1,0,cold,W,0,1.037,0,,,3
21,10204,337,5.7,cold,R,0,10.204,0,,,4
22,6366,106,3.5,shine,F,1,6.366,1,,,5
23,2528,12,1.4,cold,S,0,2.528,0,,,6
24,1889,7,1,cold,U,0,1.889,0,,,7
25,3822,33,2.1,shine,M,0,3.822,1,,,1
26,6086,110,3.4,shine,T,0,6.086,1,,,2
27,3027,12,1.6,shine,W,0,3.027,1,,,3
28,4984,81,2.7,shine,R,0,4.984,1,,,4
29,7006,239,3.9,shine,F,1,7.006,1,,,5
30,4165,31,2.2,cold,S,0,4.165,0,,,6
31,1650,9,0.9,cold,U,0,1.65,0,,,7
32,4938,48,2.7,shine,M,0,4.938,1,,,1
33,6637,125,3.7,shine,T,0,6.637,1,,,2
34,5081,92,2.8,shine,W,0,5.081,1,,,3
35,7435,123,4.1,shine,R,0,7.435,1,,,4
36,5918,88,3.2,shine,F,0,5.918,1,,,5
37,1940,7,1,cold,S,0,1.94,0,,,6
38,2609,16,1.4,cold,U,0,2.609,0,,,7
39,11980,378,6.7,cold,M,0,11.98,0,,,1
40,9497,298,5.3,cold,T,1,9.497,0,,,2
41,12787,393,7.2,cold,W,0,12.787,0,,,3
42,4975,137,2.7,cold,R,1,4.975,0,,,4
43,8868,267,4.9,cold,F,0,8.868,0,,,5
44,2189,2,1.1,cold,S,0,2.189,0,,,6
45,5195,74,2.9,cold,U,0,5.195,0,,,7
46,10956,348,6.1,cold,M,0,10.956,0,,,1
47,9793,306,5.5,cold,T,1,9.793,0,,,2
48,11372,407,6.4,cold,W,0,11.372,0,,,3
49,6300,141,3.5,cold,R,1,6.3,0,,,4
50,5942,41,3.3,shine,F,0,5.942,1,,,5
51,5287,124,2.9,cold,S,1,5.287,0,,,6
52,3851,21,2.1,cold,U,0,3.851,0,,,7
53,6981,133,3.9,shine,M,0,6.981,1,,,1
54,7154,172,4,shine,T,1,7.154,1,,,2
55,9187,292,5.1,shine,W,1,9.187,1,,,3
56,7730,219,4.3,rain,R,0,7.73,2,,,4
57,7003,232,3.9,cold,F,1,7.003,0,,,5
58,8367,259,4.7,shine,S,0,8.367,1,,,6
59,3147,20,1.7,shine,U,0,3.147,1,,,7
60,6151,156,3.4,shine,M,0,6.151,1,,,1
61,3782,39,2.1,shine,T,0,3.782,1,,,2
62,7071,188,3.9,shine,W,0,7.071,1,,,3
63,3844,73,2.1,rain,T,1,3.844,2,,,2
64,9456,301,5.3,cold,R,0,9.456,0,,,4
65,4093,102,2.2,shine,S,1,4.093,1,,,6
66,3449,28,1.9,cold,U,0,3.449,0,,,7
67,8180,222,4.5,shine,M,0,8.18,1,,,1
68,5576,60,3.1,shine,T,0,5.576,1,,,2
69,8887,235,4.9,rain,W,1,8.887,2,,,3
70,8625,309,4.8,rain,R,0,8.625,2,,,4
71,9555,290,5.3,rain,F,0,9.555,2,,,5
72,2337,5,1.3,shine,S,0,2.337,1,,,6
73,3071,24,1.6,rain,U,0,3.071,2,,,7
74,6218,138,3.4,shine,M,0,6.218,1,,,1
75,6866,191,3.8,rain,T,1,6.866,2,,,2
76,5487,142,3,shine,W,0,5.487,1,,,3
77,3311,29,1.8,shine,R,0,3.311,1,,,4
78,10286,270,5.7,shine,F,0,10.286,1,,,5
79,7184,186,4,shine,S,1,7.184,1,,,6
80,6122,83,3.4,shine,U,0,6.122,1,,,7
81,5688,180,3.1,shine,M,0,5.688,1,,,1
82,8373,116,4.7,shine,T,0,8.373,1,,,2
83,4910,153,2.7,shine,W,0,4.91,1,,,3
84,1888,35,1,rain,R,0,1.888,2,,,4
85,5908,192,3.2,shine,F,0,5.908,1,,,5
86,4903,119,2.7,shine,S,0,4.903,1,,,6
87,5448,115,3,rain,M,0,5.448,2,,,1
88,8298,198,4.6,shine,T,0,8.298,1,,,2
89,5534,86,3.1,shine,W,0,5.534,1,,,3
90,7387,223,4.1,rain,R,0,7.387,2,,,4
91,5172,78,2.9,rain,F,0,5.172,2,,,5
92,5096,145,2.8,shine,S,1,5.096,1,,,6
93,2655,31,1.4,shine,U,0,2.655,1,,,7
94,5441,80,3,shine,M,0,5.441,1,,,1
95,6017,136,3.3,shine,T,0,6.017,1,,,2
96,4192,60,2.3,shine,W,0,4.192,1,,,3
97,11042,357,6.2,rain,R,1,11.042,2,,,4
98,9498,318,5.3,shine,F,0,9.498,1,,,5
99,3981,56,2.2,shine,S,0,3.981,1,,,6
100,3755,46,2.1,shine,U,0,3.755,1,,,7
101,8028,248,4.5,shine,M,0,8.028,1,,,1
102,5932,169,3.2,shine,T,0,5.932,1,,,2
103,6545,175,3.6,shine,W,0,6.545,1,,,3
104,4410,109,2.4,shine,R,1,4.41,1,,,4
105,7396,187,4.1,shine,F,0,7.396,1,,,5
106,6471,81,3.6,shine,S,0,6.471,1,,,6
107,8802,212,4.9,shine,T,0,8.802,1,,,2
108,9457,267,5.3,rain,R,0,9.457,2,,,4
109,7239,216,4,rain,F,1,7.239,2,,,5
110,6419,148,3.6,shine,S,1,6.419,1,,,6
111,6821,175,3.8,shine,T,0,6.821,1,,,2
112,6785,123,3.7,shine,W,0,6.785,1,,,3
113,6937,234,3.9,rain,R,1,6.937,2,,,4
114,12019,447,6.7,rain,F,0,12.019,2,,,5
115,9541,157,5.3,rain,S,0,9.541,2,,,6
116,7853,186,4.4,shine,U,1,7.853,1,,,7
117,6670,213,3.7,rain,M,1,6.67,2,,,1
118,5345,124,2.9,rain,W,0,5.345,2,,,3
119,7668,217,4.2,shine,R,0,7.668,1,,,4
120,2532,8,1.4,shine,S,0,2.532,1,,,6
121,5009,89,2.7,shine,M,0,5.009,1,,,1
122,5757,148,3.2,rain,T,1,5.757,2,,,2
123,7218,131,4,shine,S,1,7.218,1,,,6
124,4593,88,2.5,rain,U,0,4.593,2,,,7
125,6122,80,3.4,rain,T,1,6.122,2,,,2
126,5584,48,3.1,rain,S,0,5.584,2,,,6
127,11398,214,6.4,shine,S,1,11.398,1,,,6
128,14327,415,8,shine,W,0,14.327,1,,,3
129,14215,481,8,rain,R,0,14.215,2,,,4
130,10043,358,5.6,shine,F,0,10.043,1,,,5
131,9319,167,5.2,shine,F,0,9.319,1,,,5
132,11890,169,6.7,shine,S,0,11.89,1,,,6
133,5940,138,3.2,shine,F,0,5.94,1,,,5
134,9109,322,5.1,shine,S,1,9.109,1,,,6
135,6313,237,3.5,shine,U,1,6.313,1,,,7
136,5251,215,2.9,shine,M,1,5.251,1,,,1
137,8030,297,4.5,shine,T,1,8.03,1,,,2
138,5965,166,3.3,shine,W,1,5.965,1,,,3
139,11333,285,6.4,shine,R,0,11.333,1,,,4
140,5426,42,3,shine,R,0,5.426,1,,,4
141,4876,97,2.7,shine,S,0,4.876,1,,,6
142,7533,381,4.2,shine,U,1,7.533,1,,,7
143,10545,326,5.9,shine,M,1,10.545,1,,,1
144,18194,791,10.2,shine,T,1,18.194,1,,,2
145,13033,454,7.3,shine,W,1,13.033,1,,,3
146,11449,467,6.4,shine,R,1,11.449,1,,,4
147,6238,110,3.4,shine,F,0,6.238,1,,,5
148,9374,322,5.2,rain,M,1,9.374,2,,,1
149,2795,21,1.5,shine,T,0,2.795,1,,,2
150,7778,208,4.3,shine,U,0,7.778,1,,,7
151,8179,91,4.5,shine,M,0,8.179,1,,,1
152,6524,46,3.6,shine,T,0,6.524,1,,,2
153,6522,40,3.6,shine,W,0,6.522,1,,,3
154,5766,39,3.2,shine,R,0,5.766,1,,,4
155,7446,86,4.1,shine,F,0,7.446,1,,,5
156,2929,10,1.6,rain,S,0,2.929,2,,,6
157,5034,108,2.7,shine,U,1,5.034,1,,,7
158,8064,154,4.5,shine,M,1,8.064,1,,,1
159,4932,48,2.7,shine,T,0,4.932,1,,,2
160,4518,76,2.5,shine,W,1,4.518,1,,,3
161,4301,87,2.4,rain,W,0,4.301,2,,,3
162,5297,120,2.9,rain,R,1,5.297,2,,,4
163,4287,115,2.4,rain,F,1,4.287,2,,,5
164,2432,7,1.3,rain,S,0,2.432,2,,,6
165,2264,11,1.2,shine,U,0,2.264,1,,,7
166,6789,178,3.7,shine,R,1,6.789,1,,,4
167,5196,28,2.9,shine,F,0,5.196,1,,,5
168,3642,84,2,rain,R,1,3.642,2,,,4
169,7796,231,4.3,rain,F,1,7.796,2,,,5
170,7576,276,4.2,shine,S,1,7.576,1,,,6
171,7797,133,4.3,shine,M,0,7.797,1,,,1
172,5026,116,2.7,shine,W,1,5.026,1,,,3
173,9404,312,5.2,rain,R,1,9.404,2,,,4
174,2759,24,1.5,rain,U,0,2.759,2,,,7
175,2142,48,1.1,shine,T,0,2.142,1,,,2
176,1279,14,0.6,shine,W,0,1.279,1,,,3
177,1265,18,0.6,shine,R,0,1.265,1,,,4
178,3160,56,1.7,shine,F,0,3.16,1,,,5
179,6872,236,3.8,rain,W,1,6.872,2,,,3
180,4636,172,2.6,shine,F,1,4.636,1,,,5
181,4718,40,2.6,shine,S,0,4.718,1,,,6
182,3002,19,1.6,cold,S,0,3.002,0,,,6
183,2751,16,1.4,cold,U,0,2.751,0,,,7
184,5572,186,3.1,cold,M,1,5.572,0,,,1
185,1861,10,0.9,cold,T,0,1.861,0,,,2
186,1215,13,0.6,cold,W,0,1.215,0,,,3
187,999,1,0.5,cold,R,0,0.999,0,,,4
188,674,0,0.3,cold,F,0,0.674,0,,,5
189,1659,7,0.9,cold,S,0,1.659,0,,,6
190,2067,21,1.1,cold,U,0,2.067,0,,,7
191,1869,30,1,cold,M,0,1.869,0,,,1
192,4609,32,2.5,cold,T,0,4.609,0,,,2
193,5397,38,3,cold,W,0,5.397,0,,,3
194,5041,140,2.7,shine,R,1,5.041,1,,,4
195,3229,23,1.8,shine,F,0,3.229,1,,,5
196,3052,17,1.6,cold,S,0,3.052,0,,,6
197,4909,36,2.7,cold,U,0,4.909,0,,,7
198,6334,159,3.4,cold,M,1,6.334,0,,,1
199,7138,246,3.9,cold,T,1,7.138,0,,,2
200,7090,228,3.9,shine,W,1,7.09,1,,,3
201,5747,12,3.2,shine,R,1,5.747,1,,,4
202,2399,2,1.3,shine,F,0,2.399,1,,,5
203,5396,35,3,cold,S,0,5.396,0,,,6
204,5169,135,2.9,cold,U,1,5.169,0,,,7
205,5951,145,3.3,cold,M,1,5.951,0,,,1
206,6250,188,3.4,cold,T,0,6.25,0,,,2
207,4718,124,2.6,cold,W,1,4.718,0,,,3
208,3961,48,2.2,shine,R,0,3.961,1,,,4
209,3615,53,1.9,shine,F,0,3.615,1,,,5
210,3226,21,1.8,shine,S,0,3.226,1,,,6
211,2706,16,1.4,shine,U,0,2.706,1,,,7
212,4271,82,2.3,cold,M,0,4.271,0,,,1
213,4055,83,2.2,cold,T,1,4.055,0,,,2
214,3849,96,2.1,cold,W,1,3.849,0,,,3
215,2409,11,1.2,cold,R,0,2.409,0,,,4
216,4790,108,2.7,cold,F,1,4.79,0,,,5
217,5501,112,3.1,cold,S,1,5.501,0,,,6
218,3686,78,2,cold,U,0,3.686,0,,,7
219,1691,0,0.9,cold,M,0,1.691,0,,,1
220,3713,102,2,cold,T,0,3.713,0,,,2
221,3903,120,2.1,cold,W,1,3.903,0,,,3
222,5772,115,3.2,cold,R,1,5.772,0,,,4
223,5443,135,3,cold,F,1,5.443,0,,,5
